question,choice_1,choice_2,choice_3,choice_4,year,field,internal,answer,grammer,vocab,old_system,reading_text
They say that this new drug will ... the problem of cancer.,solve,situate,repair,supply,81.0,0.0,1.0,1.0,,,,
"He was ... involved in doing the job, but at the end they refused to pay him anymoney.",centrally,rapidly,actively,stupidly,81.0,0.0,1.0,3.0,,,,
Which of the following sentences is NOT correct about Bill Gates?,He became very rich at a very young age.,He was the first person to develop a computer.,Both of his parents were hard working people.,As achild he was greatly interested in reading.,81.0,0.0,1.0,4.0,,,,"Bill Gates is a very important person in the computer industry. He has been the head of the Microsoft Company for many years. He is also the richest person in America. How did he do it? He learned a lot from his parents. While Bill was going to school, his father went to college, got a degree, and became a successful judge. From this, he learned that you have to work hard if you want something. His mother was a very busy teacher, but she also enjoyed traveling. From this, he learned that if you want to work hard and enjoy yourself at the same time, you have to make a program. When Bill was young, he spent a lot of time reading. But his childhood was not all work. He played a lot of sports. When he got older, he spent more and more time working and playing on a computer. Before he was 20, Bill developed the world's first computer language for the personal computer. He thought that every home was going to have a computer, and every computer would require software (the program you put into a computer). He said, ""I am going to make my first million dollars on software by the time I'm 25."" And he did it!"
"What Bill Gates learnt from his mother was that if you have an organized life, you can",He became very rich at a very young age.,make good programs for working harder,travel to different places and enjoy yourself,study and work successfully at the same time,81.0,0.0,1.0,1.0,,,,"Bill Gates is a very important person in the computer industry. He has been the head of the Microsoft Company for many years. He is also the richest person in America. How did he do it? He learned a lot from his parents. While Bill was going to school, his father went to college, got a degree, and became a successful judge. From this, he learned that you have to work hard if you want something. His mother was a very busy teacher, but she also enjoyed traveling. From this, he learned that if you want to work hard and enjoy yourself at the same time, you have to make a program. When Bill was young, he spent a lot of time reading. But his childhood was not all work. He played a lot of sports. When he got older, he spent more and more time working and playing on a computer. Before he was 20, Bill developed the world's first computer language for the personal computer. He thought that every home was going to have a computer, and every computer would require software (the program you put into a computer). He said, ""I am going to make my first million dollars on software by the time I'm 25."" And he did it!"
"The word ""require"" in line 13 is closest in meaning to ... .",accept,use,need,produce,81.0,0.0,1.0,3.0,,,,"Bill Gates is a very important person in the computer industry. He has been the head of the Microsoft Company for many years. He is also the richest person in America. How did he do it? He learned a lot from his parents. While Bill was going to school, his father went to college, got a degree, and became a successful judge. From this, he learned that you have to work hard if you want something. His mother was a very busy teacher, but she also enjoyed traveling. From this, he learned that if you want to work hard and enjoy yourself at the same time, you have to make a program. When Bill was young, he spent a lot of time reading. But his childhood was not all work. He played a lot of sports. When he got older, he spent more and more time working and playing on a computer. Before he was 20, Bill developed the world's first computer language for the personal computer. He thought that every home was going to have a computer, and every computer would require software (the program you put into a computer). He said, ""I am going to make my first million dollars on software by the time I'm 25."" And he did it!"
"The word ""it"" in line 15 refers to ... ",selling one million computers at the age of 25,spending a lot of money before he was 25,making one million pieces of software in 25 years,becoming a millionaire before the age of 25,81.0,0.0,1.0,4.0,,,,"Bill Gates is a very important person in the computer industry. He has been the head of the Microsoft Company for many years. He is also the richest person in America. How did he do it? He learned a lot from his parents. While Bill was going to school, his father went to college, got a degree, and became a successful judge. From this, he learned that you have to work hard if you want something. His mother was a very busy teacher, but she also enjoyed traveling. From this, he learned that if you want to work hard and enjoy yourself at the same time, you have to make a program. When Bill was young, he spent a lot of time reading. But his childhood was not all work. He played a lot of sports. When he got older, he spent more and more time working and playing on a computer. Before he was 20, Bill developed the world's first computer language for the personal computer. He thought that every home was going to have a computer, and every computer would require software (the program you put into a computer). He said, ""I am going to make my first million dollars on software by the time I'm 25."" And he did it!"
Bill Gates was not even twenty years Old when he developed the first ... .,personal computer in the computer industry,personal language for computers,software for world computers,computer languages for home computers,81.0,0.0,1.0,4.0,,,,"Bill Gates is a very important person in the computer industry. He has been the head of the Microsoft Company for many years. He is also the richest person in America. How did he do it? He learned a lot from his parents. While Bill was going to school, his father went to college, got a degree, and became a successful judge. From this, he learned that you have to work hard if you want something. His mother was a very busy teacher, but she also enjoyed traveling. From this, he learned that if you want to work hard and enjoy yourself at the same time, you have to make a program. When Bill was young, he spent a lot of time reading. But his childhood was not all work. He played a lot of sports. When he got older, he spent more and more time working and playing on a computer. Before he was 20, Bill developed the world's first computer language for the personal computer. He thought that every home was going to have a computer, and every computer would require software (the program you put into a computer). He said, ""I am going to make my first million dollars on software by the time I'm 25."" And he did it!"
A : You can't go on a picnic. It's raining.B : I wish it ... raining.,stopped,stops,would stop,will stop,81.0,1.0,1.0,3.0,1.0,,,
Finally I got two men ... the garden and the house for me.,to clean,cleaning,clean,cleaned,81.0,1.0,1.0,1.0,1.0,,,
Could you please stop ... so much noise? I am trying to study for my exam tomorrow.,having made,making,to make,to be making,81.0,1.0,1.0,2.0,1.0,,,
"... all my housework, I sat down to watch my favorite program on TV.",Being finished,Finishing,Having finished,To have finished,81.0,1.0,1.0,3.0,1.0,,,
We need a person with an ... mind to do the job in the best way possible.,organization,organized,organize,organizer,81.0,1.0,1.0,2.0,1.0,,,
I had to take a taxi to go to the office because there was no other ... to get there ontime.,area,basis,case,way,81.0,1.0,1.0,4.0,,1.0,,
"Unfortunately, he could not return the book he had ... last week to the library on time.",prevented,expected,borrowed,absorbed,81.0,1.0,1.0,3.0,,1.0,,
I was not listening. Can you tell me the ... point of the discussion?,main,local,perfect,sharp,81.0,1.0,1.0,1.0,,1.0,,
The teacher asked the students to write the answers on a separate ... of paper.,sheet,field,edge,zone,81.0,1.0,1.0,1.0,,1.0,,
The government has made plans to ... the railway to the north of the country.,create,extend,locate,replace,81.0,1.0,1.0,2.0,,1.0,,
I posted my ... for the job three weeks ago but I have not received an answer from thecompany yet.,appointment,suggestion,assignment,application,81.0,1.0,1.0,4.0,,1.0,,
"Before a passage is put in a newspaper, it is ... several times.",operated,edited,defined,assisted,81.0,1.0,1.0,2.0,,1.0,,
It is not ... to jump into the water to rescue somebody when you don't know how toswim yourself.,registered,regular,respectful,reasonable,81.0,1.0,1.0,4.0,,1.0,,
I don't like the idea of... a bird in a cage.,confining,gathering,managing,dispersing,81.0,1.0,1.0,1.0,,1.0,,
The shirts and their colors are so beautiful that it's not easy for me to make a ... of which to buy.,opportunity,fortune,elections,choice,81.0,1.0,1.0,4.0,,1.0,,
Greeting is a/an ... way of starting a conversation when you meet someone.,annoying,patient,friendly,limiting,81.0,1.0,1.0,3.0,,1.0,,
The witness was asked to ... the robber's face in details.,translate,suggest,polish,describe,81.0,1.0,1.0,4.0,,1.0,,
He makes a/an ... living by teaching school children.,sufficient,steep,honest,qualified,81.0,1.0,1.0,4.0,,1.0,,
My parents' supervision is of great ... to me in life.,union,safety,supply,value,81.0,1.0,1.0,4.0,,1.0,,
"After listening to everything I said, he left the room ... without saying even one word.",basically,distinctly,actively,silently,81.0,1.0,1.0,4.0,,1.0,,
Mrs. Mills was not happy because her children didn't like ...,sleeping in the evening,going to bed early,sleeping late at night,staying up late,81.0,1.0,1.0,2.0,,,,"Mr. and Mrs. Mills had two small children. One of them was six, and the other was four. They disliked going to bed early in the evenings and insisted on staying up late. Mrs. Mills was unhappy about this. Mr. Mills came home from work when Mrs. Mills had forced the children to sleep and she was actually tired of this. Mr. Mills was not at home then to help her except at weekends. Mr. Mills thought he was a good storyteller but the way he told stories was really miserable. However, he decided that if he told children stories when they went to bed, it would help them relax and little by little they would go to sleep. He did this every Saturday and Sunday night until he heard his small son saying to his sister, ""Do you think he will stop telling the story if we close our eyes?"""
Mrs. Mills could not help his wife with her problem because he ...,went to bed earlier than the children,came home late from work,was tired of his children,didn't know what to do,81.0,1.0,1.0,2.0,,,,"Mr. and Mrs. Mills had two small children. One of them was six, and the other was four. They disliked going to bed early in the evenings and insisted on staying up late. Mrs. Mills was unhappy about this. Mr. Mills came home from work when Mrs. Mills had forced the children to sleep and she was actually tired of this. Mr. Mills was not at home then to help her except at weekends. Mr. Mills thought he was a good storyteller but the way he told stories was really miserable. However, he decided that if he told children stories when they went to bed, it would help them relax and little by little they would go to sleep. He did this every Saturday and Sunday night until he heard his small son saying to his sister, ""Do you think he will stop telling the story if we close our eyes?"""
"The word ""miserable"" in line 9 is closest in meaning to ...",awful,exciting,shocking,entertaining,81.0,1.0,1.0,1.0,,,,"Mr. and Mrs. Mills had two small children. One of them was six, and the other was four. They disliked going to bed early in the evenings and insisted on staying up late. Mrs. Mills was unhappy about this. Mr. Mills came home from work when Mrs. Mills had forced the children to sleep and she was actually tired of this. Mr. Mills was not at home then to help her except at weekends. Mr. Mills thought he was a good storyteller but the way he told stories was really miserable. However, he decided that if he told children stories when they went to bed, it would help them relax and little by little they would go to sleep. He did this every Saturday and Sunday night until he heard his small son saying to his sister, ""Do you think he will stop telling the story if we close our eyes?"""
"The word ""this"" in line 11 refers to ...",coming home early,going to bed,helping them relax,telling stories,81.0,1.0,1.0,4.0,,,,"Mr. and Mrs. Mills had two small children. One of them was six, and the other was four. They disliked going to bed early in the evenings and insisted on staying up late. Mrs. Mills was unhappy about this. Mr. Mills came home from work when Mrs. Mills had forced the children to sleep and she was actually tired of this. Mr. Mills was not at home then to help her except at weekends. Mr. Mills thought he was a good storyteller but the way he told stories was really miserable. However, he decided that if he told children stories when they went to bed, it would help them relax and little by little they would go to sleep. He did this every Saturday and Sunday night until he heard his small son saying to his sister, ""Do you think he will stop telling the story if we close our eyes?"""
The children thought of closing their eyes ... .,to be able to go to sleep faster,to help themselves relax and sleep earlier,not to have to listen to the rest of his story,not to have him stop telling stories,81.0,1.0,1.0,3.0,,,,"Mr. and Mrs. Mills had two small children. One of them was six, and the other was four. They disliked going to bed early in the evenings and insisted on staying up late. Mrs. Mills was unhappy about this. Mr. Mills came home from work when Mrs. Mills had forced the children to sleep and she was actually tired of this. Mr. Mills was not at home then to help her except at weekends. Mr. Mills thought he was a good storyteller but the way he told stories was really miserable. However, he decided that if he told children stories when they went to bed, it would help them relax and little by little they would go to sleep. He did this every Saturday and Sunday night until he heard his small son saying to his sister, ""Do you think he will stop telling the story if we close our eyes?"""
Tara's got ... high IQ that She entered university at the age of fourteen.,so,too,such,such a,82.0,1.0,1.0,4.0,1.0,,,
I ... you a pair of shoes if I had known your exact size.,will buy,would buy,would have bought,will have bought,82.0,1.0,1.0,3.0,1.0,,,
"... the heavy box, Reza fell down on his back and hurt himself.",lifting,lifted,to lift,Being lifted,82.0,1.0,1.0,1.0,1.0,,,
Why don't you have your friend ... your composition before handing it to the teacher?,check,checking,checked,to check,82.0,1.0,1.0,1.0,1.0,,,
When she agreed to marry him he felt he had achieved his heart's ... .,effect,desire,result,content,82.0,1.0,1.0,2.0,,1.0,,
Please ... my answering the telephone without your permission.,rescue,confine,equip,excuse,82.0,1.0,1.0,4.0,,1.0,,
The reason for his actions remains a ... to his friends.,pressure,puzzle,power,project,82.0,1.0,1.0,2.0,,1.0,,
Good parents Should ... all their attempts to training their children.,avoid,replace,devote,allow,82.0,1.0,1.0,3.0,,1.0,,
Is the ... from one end of a football field to the other end 100 yards?,balance,distance,influence,instance,82.0,1.0,1.0,2.0,,1.0,,
My car ... a lot of fuel; that's why I am going to sell it.,pollutes,controls,absorbs,consumes,82.0,1.0,1.0,4.0,,1.0,,
My uncle is one of the ... of a political party.,members,observers,winners,viewers,82.0,1.0,1.0,1.0,,1.0,,
Please ... to your sister and say that I won't be able to take part in her celebration.,realize,organize,apologize,respect,82.0,1.0,1.0,3.0,,1.0,,
Everybody knows that Tehran is city with a ... of over ten millions.,population,confusion,formation,situation,82.0,1.0,1.0,1.0,,1.0,,
We... the quality of our foods but did not increase the price.,composed,encouraged,concerned,maintained,82.0,1.0,1.0,4.0,,1.0,,
This drug should only be taken under the ... of a doctor.,employment,supervision,information,appointment,82.0,1.0,1.0,2.0,,1.0,,
He won the gold medal by ... the last athlete in the competition.,overcoming,imposing,employing,defending,82.0,1.0,1.0,1.0,,1.0,,
"In doing a test, first we should read the ... carefully.",decisions,collections,instructions,publications,82.0,1.0,1.0,3.0,,1.0,,
how could you ... what he said was not true? By fortune.,stick out,find out,pick up,give up,82.0,1.0,1.0,2.0,,1.0,,
There is no ... explanation for the theory you are talking a bout.,electronic,automatic,energetic,scientific,82.0,1.0,1.0,4.0,,1.0,,
Government likes students to participate ... in the school's social program.,actively,lately,recently,emotionally,82.0,1.0,1.0,1.0,,1.0,,
Whichever party comes to power will fact ... economic problems.,free,major,mental,manual,82.0,1.0,1.0,2.0,,1.0,,
what happened in the story? The writer ... .,had lost his way,did catch a very bad cold,stopped listening to the music,arrived in Milan with a delay,82.0,1.0,1.0,4.0,,,,"I was traveling through northern Italy, listening to music. Although it was sunny, it was cool for April. The coach was comfortable and light. We were given cold drinks and delicious foods. Just after midday the road started to climb and the temperature fell rapidly. When we reached the highest point of the hills, it was snowing hard. Suddenly, there was a bang and the coach drove off the road and stopped. For a moment everything was quiet and nobody moved. Fortunately, nobody was hurt and soon we all shouted excitedly. The driver had lost control after having a flat tire. He said he couldn't change the wheel in such terrible weather conditions. Twenty hours later another coach arrived and soon we continued our journey. By the time we arrived in Milan, I was tired and hungry. I must have listened to that music over twenty times. Every time I hear that music now, it reminds me of that terrible day."
"There, people heard a loud noise because ... .",it was snowing hard,everybody was shouting,the driver got a flat tire,there was a piece of music going on,82.0,1.0,1.0,3.0,,,,"I was traveling through northern Italy, listening to music. Although it was sunny, it was cool for April. The coach was comfortable and light. We were given cold drinks and delicious foods. Just after midday the road started to climb and the temperature fell rapidly. When we reached the highest point of the hills, it was snowing hard. Suddenly, there was a bang and the coach drove off the road and stopped. For a moment everything was quiet and nobody moved. Fortunately, nobody was hurt and soon we all shouted excitedly. The driver had lost control after having a flat tire. He said he couldn't change the wheel in such terrible weather conditions. Twenty hours later another coach arrived and soon we continued our journey. By the time we arrived in Milan, I was tired and hungry. I must have listened to that music over twenty times. Every time I hear that music now, it reminds me of that terrible day."
The driver got angry because ... i,he couldn't find his way,everybody was making a noise,he couldn't change the wheel in such terrible wether,nobody helped the driver to change the flat tire,82.0,1.0,1.0,3.0,,,,"I was traveling through northern Italy, listening to music. Although it was sunny, it was cool for April. The coach was comfortable and light. We were given cold drinks and delicious foods. Just after midday the road started to climb and the temperature fell rapidly. When we reached the highest point of the hills, it was snowing hard. Suddenly, there was a bang and the coach drove off the road and stopped. For a moment everything was quiet and nobody moved. Fortunately, nobody was hurt and soon we all shouted excitedly. The driver had lost control after having a flat tire. He said he couldn't change the wheel in such terrible weather conditions. Twenty hours later another coach arrived and soon we continued our journey. By the time we arrived in Milan, I was tired and hungry. I must have listened to that music over twenty times. Every time I hear that music now, it reminds me of that terrible day."
from the pasage it can be understood that the writer ... .,was pleased with the whole journey and enjoyed the music,is not going to have any travel for the rest of his life,"was pleased that everybody was safe, but felt tired in the end","was pleased with the memory of music, but felt tired in the end",82.0,1.0,1.0,3.0,,,,"I was traveling through northern Italy, listening to music. Although it was sunny, it was cool for April. The coach was comfortable and light. We were given cold drinks and delicious foods. Just after midday the road started to climb and the temperature fell rapidly. When we reached the highest point of the hills, it was snowing hard. Suddenly, there was a bang and the coach drove off the road and stopped. For a moment everything was quiet and nobody moved. Fortunately, nobody was hurt and soon we all shouted excitedly. The driver had lost control after having a flat tire. He said he couldn't change the wheel in such terrible weather conditions. Twenty hours later another coach arrived and soon we continued our journey. By the time we arrived in Milan, I was tired and hungry. I must have listened to that music over twenty times. Every time I hear that music now, it reminds me of that terrible day."
When I imagine ... him again I feel so happy.,see,to see,seeing,be seen,83.0,0.0,1.0,3.0,1.0,,,
The rope was ... weak to hold the two men,such,enough,so,too,83.0,0.0,1.0,4.0,1.0,,,
How many times ... these shoes ... since you bought them?,were/repaired,did/repair,have/been repaired,have/ repaired,83.0,0.0,1.0,3.0,1.0,,,
"If he were here now, he... happy to see you.",will be,would be,will have been,had been,83.0,0.0,1.0,2.0,1.0,,,
He asked me when ... my first word.,Thad spoken,Ihave spoken,had I spoken,have I spoken,83.0,0.0,1.0,1.0,1.0,,,
Frank can solve his own problems. Why do yovu ... in his personal affairs?,research,operate,chaim,interfere,83.0,0.0,1.0,4.0,,1.0,,
"The officer told his men to cease fire in order to start the peace talks. ""Cease"" means ...",stop,stay,hold,control,83.0,0.0,1.0,1.0,,1.0,,
Drinking dirty water encourage the ... of this disease.,spread,reference,equipment,substance,83.0,0.0,1.0,1.0,,1.0,,
The building was badly ... in the fire and had to be built again.,injured,invaded,dispersed,damaged,83.0,0.0,1.0,4.0,,1.0,,
Be... ! I can't change all my plans for you.,intimate,desirable,adequate,reasonable,83.0,0.0,1.0,4.0,,1.0,,
It's a long time that stamp ... has been my hobby.,instruction,collection,competition,celebration,83.0,0.0,1.0,2.0,,1.0,,
"He took a bag ... 12,000 pounds and ran away.",locating,counting,containing,covering,83.0,0.0,1.0,3.0,,1.0,,
After writing a letter you should address the ... and stick a stamp on it.,measure,material,resource,envelope,83.0,0.0,1.0,4.0,,1.0,,
I ... my neighbor's son while she was out last night.,set up,gave up,looked after,took place,83.0,0.0,1.0,3.0,,1.0,,
She works in a hospital for the ... ill.,mentally,attentively,commonly,emotionally,83.0,0.0,1.0,1.0,,1.0,,
"Roger and Mary were happily married for many years. With the children gone, Mary
felt 1 and lonely and that her life was without purpose. She wanted to find a job
but Roger told her that 2 ___ silly since he earned a good living. _3___ around the
house with nothing to do, Mary began to put on weight, Roger had been under a lot of
__4__athis job. Some nights he would have to work late when he got home, he found
Mary very angry. They began to argue __5___. Last mounth they separated. Who is to
blame?
",lasting,bored,excited,confusing,83.0,0.0,1.0,2.0,,,,
"Roger and Mary were happily married for many years. With the children gone, Mary
felt 1 and lonely and that her life was without purpose. She wanted to find a job
but Roger told her that 2 ___ silly since he earned a good living. _3___ around the
house with nothing to do, Mary began to put on weight, Roger had been under a lot of
__4__athis job. Some nights he would have to work late when he got home, he found
Mary very angry. They began to argue __5___. Last mounth they separated. Who is to
blame?
",was,had been,has been,would have been,83.0,0.0,1.0,1.0,,,,
"Roger and Mary were happily married for many years. With the children gone, Mary
felt 1 and lonely and that her life was without purpose. She wanted to find a job
but Roger told her that 2 ___ silly since he earned a good living. _3___ around the
house with nothing to do, Mary began to put on weight, Roger had been under a lot of
__4__athis job. Some nights he would have to work late when he got home, he found
Mary very angry. They began to argue __5___. Last mounth they separated. Who is to
blame?
",Sitting,Be sitting,To sit,She sat,83.0,0.0,1.0,1.0,,,,
"Roger and Mary were happily married for many years. With the children gone, Mary
felt 1 and lonely and that her life was without purpose. She wanted to find a job
but Roger told her that 2 ___ silly since he earned a good living. _3___ around the
house with nothing to do, Mary began to put on weight, Roger had been under a lot of
__4__athis job. Some nights he would have to work late when he got home, he found
Mary very angry. They began to argue __5___. Last mounth they separated. Who is to
blame?
",process,procedure,pressure,position,83.0,0.0,1.0,3.0,,,,
"Roger and Mary were happily married for many years. With the children gone, Mary
felt 1 and lonely and that her life was without purpose. She wanted to find a job
but Roger told her that 2 ___ silly since he earned a good living. _3___ around the
house with nothing to do, Mary began to put on weight, Roger had been under a lot of
__4__athis job. Some nights he would have to work late when he got home, he found
Mary very angry. They began to argue __5___. Last mounth they separated. Who is to
blame?
",overactively,constantly,attentively,primitively,83.0,0.0,1.0,2.0,,,,
The passage is mainly about the effect of ...,problem,world,food supply,population growth,83.0,0.0,1.0,3.0,,,,"One of the great problems that the world faces is overpopulation. Experts tell us that unless it is brought under control, population growth will produce a serious problem in the world's food supply in a few years. An increase in population will also consume the Also, people who have used land to produce find this problem difficult to understand. World leaders who must always think about public reaction find the problem hard to deal with. Improvement in food production and spreading them, however, is something that everybody can understand and support. Likewise, water saving, which is necessary to food production and other important human activities, is supported readily by most people, but increased population will probably never reach enough balance, unless an effort is made to control the population."
"The word ""it"" (line 1) refers to ...",lack of food,harmful human activities,too many people living on earth,shortage of water for increased world population,83.0,0.0,1.0,4.0,,,,"One of the great problems that the world faces is overpopulation. Experts tell us that unless it is brought under control, population growth will produce a serious problem in the world's food supply in a few years. An increase in population will also consume the Also, people who have used land to produce find this problem difficult to understand. World leaders who must always think about public reaction find the problem hard to deal with. Improvement in food production and spreading them, however, is something that everybody can understand and support. Likewise, water saving, which is necessary to food production and other important human activities, is supported readily by most people, but increased population will probably never reach enough balance, unless an effort is made to control the population."
The one problem NOT mentioned in the passage is ...,water scarcity,food supply,world leaders weakness,shortage of living space for people,83.0,0.0,1.0,3.0,,,,"One of the great problems that the world faces is overpopulation. Experts tell us that unless it is brought under control, population growth will produce a serious problem in the world's food supply in a few years. An increase in population will also consume the Also, people who have used land to produce find this problem difficult to understand. World leaders who must always think about public reaction find the problem hard to deal with. Improvement in food production and spreading them, however, is something that everybody can understand and support. Likewise, water saving, which is necessary to food production and other important human activities, is supported readily by most people, but increased population will probably never reach enough balance, unless an effort is made to control the population."
"The word ""consume"" (line 3) is closest in meaning to ...",decrease,eat,catch,dissolve,83.0,0.0,1.0,1.0,,,,"One of the great problems that the world faces is overpopulation. Experts tell us that unless it is brought under control, population growth will produce a serious problem in the world's food supply in a few years. An increase in population will also consume the Also, people who have used land to produce find this problem difficult to understand. World leaders who must always think about public reaction find the problem hard to deal with. Improvement in food production and spreading them, however, is something that everybody can understand and support. Likewise, water saving, which is necessary to food production and other important human activities, is supported readily by most people, but increased population will probably never reach enough balance, unless an effort is made to control the population."
"According to the passage, the problem of increased population ...",cannot be effectively solved,requires human activity for its solution,cannot be solved unless some other problems are solved,requires the use of more agricultural land for its solution,83.0,0.0,1.0,2.0,,,,"One of the great problems that the world faces is overpopulation. Experts tell us that unless it is brought under control, population growth will produce a serious problem in the world's food supply in a few years. An increase in population will also consume the Also, people who have used land to produce find this problem difficult to understand. World leaders who must always think about public reaction find the problem hard to deal with. Improvement in food production and spreading them, however, is something that everybody can understand and support. Likewise, water saving, which is necessary to food production and other important human activities, is supported readily by most people, but increased population will probably never reach enough balance, unless an effort is made to control the population."
"The weather is lovely, isn't it? I didn't expect it to be ... nice day.",so,very,such a,enough,83.0,2.0,1.0,3.0,1.0,,,
"... home, he first went to bed to rest.",having arrived,To arrive,Arrived,He arrived,83.0,2.0,1.0,1.0,1.0,,,
tom got his close friends ... the rooms.,paint,painted,painting,to paint,83.0,2.0,1.0,4.0,1.0,,,
"A: The teacher looked very plaesed today.B: Yes, he ... a raise.",has to got,should get,might have gotten,would have gotten,83.0,2.0,1.0,3.0,1.0,,,
He has to write a lot of letters in his free time and I do ...,too,either,so,also,83.0,2.0,1.0,1.0,,1.0,,
Married people live longer and have better general ... than the unmarried.,force,health,fortune,goal,83.0,2.0,1.0,2.0,,1.0,,
"Ifyou ... him with other children of his age, he's not very tall.",contact,compare,include,prepare,83.0,2.0,1.0,2.0,,1.0,,
Some papet ... cannot be collected and used again.,programs,projects,products,markets,83.0,2.0,1.0,3.0,,1.0,,
"This book will provide you with all the information you need. ""Provide"" means ...",supply,achieve,gather,promise,83.0,2.0,1.0,1.0,,1.0,,
"To be ... with you, I do not think your plan is practical.",perfect,honest,secure,desirable,83.0,2.0,1.0,2.0,,1.0,,
The... of money I received for what I did was only $500.,sum,content,account,payment,83.0,2.0,1.0,1.0,,1.0,,
Old parents often have difficulty ... with their children.,meddling,imposing,performing,communicating,83.0,2.0,1.0,4.0,,1.0,,
"In old days, all the farming ... was made and repaired in the village.",development,equipment,experiment,arrangment,83.0,2.0,1.0,2.0,,1.0,,
"As the sun came up, We... up the mountain.",searched for,took away,set off,brought out,83.0,2.0,1.0,3.0,,1.0,,
"I think those students acted impolitely to leave the class. ""Impolitely"" means ...",rudely,terribly,awfully,carelessly,83.0,2.0,1.0,1.0,,1.0,,
"Most people who try to lose weight would probably agree that the word ""diet"" (to
lose weight) comes from the verb ""to die"". In the United States, 1. overweight is a
great problem. Food scientist have many _2 _ to help people make a(an) 3 __
between real hunger and other factors 4 make them eat. For example, a traveling
salesman 5 ___ that he ate lots of things only while driving his car. Now he avoids
keeping any food in his car.
",be,being,has been,having been,83.0,2.0,1.0,2.0,,,,
"Most people who try to lose weight would probably agree that the word ""diet"" (to
lose weight) comes from the verb ""to die"". In the United States, 1. overweight is a
great problem. Food scientist have many _2 _ to help people make a(an) 3 __
between real hunger and other factors 4 make them eat. For example, a traveling
salesman 5 ___ that he ate lots of things only while driving his car. Now he avoids
keeping any food in his car.
",situations,observations,operations,suggestions,83.0,2.0,1.0,4.0,,,,
"Most people who try to lose weight would probably agree that the word ""diet"" (to
lose weight) comes from the verb ""to die"". In the United States, 1. overweight is a
great problem. Food scientist have many _2 _ to help people make a(an) 3 __
between real hunger and other factors 4 make them eat. For example, a traveling
salesman 5 ___ that he ate lots of things only while driving his car. Now he avoids
keeping any food in his car.
",experience,decision,difference,expression,83.0,2.0,1.0,3.0,,,,
"Most people who try to lose weight would probably agree that the word ""diet"" (to
lose weight) comes from the verb ""to die"". In the United States, 1. overweight is a
great problem. Food scientist have many _2 _ to help people make a(an) 3 __
between real hunger and other factors 4 make them eat. For example, a traveling
salesman 5 ___ that he ate lots of things only while driving his car. Now he avoids
keeping any food in his car.
",that,to,they,that they,83.0,2.0,1.0,1.0,,,,
"Most people who try to lose weight would probably agree that the word ""diet"" (to
lose weight) comes from the verb ""to die"". In the United States, 1. overweight is a
great problem. Food scientist have many _2 _ to help people make a(an) 3 __
between real hunger and other factors 4 make them eat. For example, a traveling
salesman 5 ___ that he ate lots of things only while driving his car. Now he avoids
keeping any food in his car.
",predicted,realized,organized,refused,83.0,2.0,1.0,2.0,,,,
